Geosite Name,Coordinates,Location Description,Type of Geosite,Mention Context
Paper Title,Recognition of Shyok Ophiolites of NW Ladakh Trans-Himalaya as a Geoheritage- Importance to Himalayan Orogeny and Remnant of Tethyan Oceanic Lithosphere,,,
Shyok Ophiolite Belt,"34.8515, 77.9251","Trans-Himalaya region of NW Ladakh, along Shyok River",Ophiolite complex / Tectonic-metamorphic unit,"The Shyok Suture Zone exposes one of the best-preserved ophiolitic sequences in the Indian Himalaya, representing remnants of the Tethys Ocean crust."
Diskit–Tegger–Hunder–Partapur–Turtuk section,Not explicitly given,"Road transect in Nubra Valley, Ladakh",Geological transect / Stratigraphic section,"The route from Diskit to Turtuk traverses key lithologies of the Shyok ophiolite, showcasing pillow basalts, gabbros, and tectonic mélanges."
Hunder area,"34.6205, 77.4571","Nubra Valley, NW Ladakh",Pillow basalt exposure / Volcanic rock,"Excellent exposures of pillow basalts are seen in the Hunder area, indicating submarine volcanic activity of the Tethyan oceanic lithosphere."
Tegger,"34.7000, 77.6000","Between Diskit and Partapur, Nubra Valley",Serpentinite and gabbro exposures,Tegger shows exposures of serpentinized mantle rocks and gabbros that form part of the ophiolitic sequence.
Bukdang–Turtuk area,"34.8198, 76.8652","Near India-Pakistan border, Baltistan tectonic corridor",Metamorphic basement / Tectonic contact zone,The Bukdang–Turtuk area marks the transition from ophiolitic rocks to the Indian continental margin with tectonic mélanges and metamorphic rocks.
Paper Title,Ladakh Himalayan Ophiolites (LHO)- A Geological Heritage of Northwestern India,,,
Ladakh Himalayan Ophiolites (LHO),"34.8, 77.9 (approx)","Found in Shyok Suture Zone (SSZ), NW Himalaya, Ladakh",Ophiolite belt (ultramafic to volcanic rocks),The LHO represents remnants of the oceanic lithosphere formed at divergent plate boundaries and later obducted during the India-Asia collision.
Surmo Mélange,Not specified,"Between Hunder and Turtuk, Nubra Valley",Mélange zone with block-in-matrix structures,"The Surmo mélange exposes large tectonic blocks of basalt, radiolarian chert, and ultramafic rocks within a sheared matrix."
Bukdang–Turtuk Section,"34.8198, 76.8652",Near India-Pakistan border,Ophiolitic fragments and tectonic contacts,The ophiolite exposures between Bukdang and Turtuk are significant for studying the suture zone evolution.
Diskit–Partapur Section,Not specified,"Nubra Valley, Ladakh",Ophiolite sequence (ultramafic–gabbro–basalt),"The area shows a near-complete sequence of an ophiolite from mantle to crustal rocks, critical for understanding tectonic stacking."
Tegger and Hunder Areas,"34.7000, 77.6000 (Tegger)34.6205, 77.4571 (Hunder)",Nubra Valley,"Pillow basalts, sheeted dykes, ultramafic exposures",Both locations exhibit well-developed pillow basalt structures and sheeted dykes—key indicators of ocean floor spreading.
Paper Title,"Geological Features of Northwestern Himalaya, Ladakh, India-- Geosites and Their Significance in the Ladakh Himalaya",,,
Lamayuru Formation,"34.2833, 76.7680","Near Lamayuru village, Leh district",Flysch unit with fossil-rich black shales,"Lamayuru is known for its fossiliferous marine sediments, representing deep-water flysch facies of the Indus Basin."
Chilling–Sumdo–Zanskar Gorge,"33.8415, 77.5546",Zanskar Gorge region along the Indus River,Tectonically active zone with Zanskar shear zone,"This region exposes the Zanskar shear zone and the Main Central Thrust (MCT), revealing tectonic processes of the Himalaya."
Kargil Basin,"34.5500, 76.1300",Kargil town and surroundings,Continental sedimentary basin,The Kargil basin preserves evidence of post-collision sedimentation and is significant for tectonic evolution studies.
Tso Kar Lake Area,"33.3986, 78.0624","South of Leh, in the Rupshu Valley",Lacustrine and evaporite sediments,"Tso Kar represents late Quaternary environmental changes with saline deposits and shorelines, useful for paleoclimate studies."
Zanskar Valley (Phugtal Monastery region),"33.1381, 77.3564","Southeastern Ladakh, near Lungnak River",Carbonate platform and karst features,The region is composed of thick-bedded carbonates showing features of paleo-karstification and early tectonic deformation.
Indus Suture Zone (ISZ),"34.0000, 77.0000",Running along the Indus River between Ladakh and Zanskar ranges,Tectonic boundary zone,"The ISZ marks the collisional boundary between the Indian Plate and the Ladakh Batholith/Ophiolites, key to Himalayan tectonics."
Paper Title,"Geoheritage in Ladakh Himalaya- the Indus Suture Zone Ophiolites, Southeast of Ladakh, India",,,
Indus Suture Zone (ISZ) Ophiolites,"33.8790, 78.0583","Along the Leh–Upshi–Nyoma axis, southeastern Ladakh","Ophiolite suite (mantle, crustal, sedimentary rocks)","The ISZ exposes one of the most complete and accessible ophiolite sequences in Ladakh, crucial for reconstructing the closure of the Tethys Ocean."
Upshi Area,"33.8302, 77.8433","South of Leh, en route to Nyoma",Ultramafic and gabbro exposures,Upshi provides clear exposures of layered gabbros and serpentinized peridotites typical of oceanic crust.
Nyoma–Loma Region,"33.4295, 78.6321","Southeast Ladakh, near the India–China border",Disrupted ophiolitic units with mélange,"The area has ophiolitic blocks within sheared matrices, interpreted as subduction-related accretionary complexes."
Hemis–Karu Belt,"34.0000, 77.4167","Northeast of Upshi, near Hemis Monastery",High-pressure metamorphic and ophiolitic mélange,The Hemis–Karu belt represents tectonic mixing zones and high-grade ophiolite-associated metamorphic rocks.
Chumathang Area,"33.4069, 78.7823",Between Upshi and Nyoma along the Indus River,Tectonic contact zone with thermal springs,"Chumathang showcases tectonic contact between batholith and ophiolitic rocks, with active geothermal springs."
Paper Title,A consensus map for Ladakh’s development as potential geotourism destination-- key drivers,,,
Lamayuru–Moonland,"34.2833, 76.7680","Lamayuru, Leh district",Soft sediment badlands / Flysch sequence,Lamayuru’s Moonland landscape is a well-known geotourism attraction due to its surreal terrain and geological exposure of soft laminated sediments.
Puga Geothermal Field,"33.2413, 78.3162","Puga Valley, southeastern Ladakh",Geothermal field with hot springs,The Puga geothermal field has been highlighted for its renewable energy potential and geotourism appeal as a natural wonder.
Tso Moriri Wetland Area,"32.9987, 78.2569","Changthang Plateau, Rupshu Valley",Lacustrine ecosystem in tectonic basin,Tso Moriri is a Ramsar site with underlying tectonic significance; potential site for integrated geo-ecotourism development.
Zanskar Valley (Karsha–Padum),"33.5411, 77.5510",Central Zanskar Range,Sedimentary and tectonic landforms,"Zanskar Valley is considered a key geotourism corridor with exposure to active thrusts, river incisions, and carbonate platforms."
Turtuk–Bukdang Belt,"34.8198, 76.8652",Northern edge of Nubra Valley near LoC,Ophiolitic remnants and tectonic mélange,The area represents geostrategic and geological significance with ophiolitic traces of the Tethys Ocean crust.
Chumathang–Nyoma–Loma Sector,"33.4069, 78.7823","SE Ladakh, Indus Suture Zone","Ophiolitic sequence, batholiths, geothermal features","Identified as a potential thematic geotrail showcasing tectonic contact zones, hot springs, and igneous-metamorphic interactions."
Paper Title,"Characteristics of Geosites for Promotion and Development of Geotourism in Ladakh, India",,,
Lamayuru Moonland,"34.2833, 76.7680","Lamayuru, Leh district",Badland terrain / soft sediment deposits,"Highlighted for its landscape appeal, geological exposure, and existing tourism infrastructure."
Magnetic Hill,"34.1802, 77.5439",Near Leh–Kargil highway,Gravity illusion site / geomorphological curiosity,"Popular stop on Leh highway, said to create an optical illusion of uphill motion."
Puga Valley,"33.2413, 78.3162","Changthang Plateau, SE Ladakh",Geothermal field with hot springs,Identified as a key site for geotourism and geothermal energy research.
Tso Kar,"33.3986, 78.0624",Rupshu Valley region,Lacustrine basin in tectonic setting,"Lakes exhibit environmental change indicators, saline deposits, and stunning scenery."
Tso Moriri Lakes,"32.9987, 78.2569",,,
Chumathang Hot Springs,"33.4069, 78.7823",Between Upshi and Nyoma along Indus River,Thermal spring / tectonic contact zone,Site has geo-medicinal appeal and is ideal for geotourism development.
Basgo Fort Area,"34.1725, 77.3108",West of Leh,Sedimentary cliffs with fort ruins,Cultural and geological integration—suggested for educational tourism.
Zanskar Valley (Padum region),"33.5411, 77.5510",Central Zanskar Range,Sedimentary sequence / thrust zones,Recognized for its active tectonic structures and paleogeographic history.
Gya–Miru Belt,"34.1000, 77.9833","North of Upshi, between Leh and Tso Moriri",High-grade metamorphics and fault zones,This area is notable for exposure of the Indus Suture Zone with diverse lithologies.
Paper Title,Geoheritage Sites of Quaternary Loess–Palaeosol and Palaeo-fluvio-lacustrine Deposits in Northwest Himalaya- a Necessitate Protection,,,
Leh–Basgo Loess–Palaeosol Section,"34.1802, 77.3108",Roadcut sections between Leh and Basgo,Loess-palaeosol sequence,"This site reveals multiple Quaternary loess layers with paleosols, offering insights into paleoclimate changes and dust fluxes in the Himalaya."
Nubra–Diskit Section,"34.5906, 77.4423",Nubra Valley near Diskit,Loess–palaeosol exposure,Loess deposits overlain by aeolian sand dunes—used to study cold desert sedimentation and climate history.
Tangtse Section (East Ladakh),"34.0566, 78.2167","On the way to Pangong Tso, near Tangtse",Lacustrine and loess-paleosol sequence,Outcrops represent old lake beds and wind-blown sedimentation linked to glacial–interglacial phases.
Nyoma Valley,"33.4295, 78.6321",Southeastern Ladakh,Lacustrine and loess-filled valley,Suggested as a Quaternary paleoenvironment archive with evidence of fluvio-lacustrine transitions.
Basgo–Likir area,"34.2051, 77.1661",Western Leh district,Loess-paleosol terrace,"Highlighted as fragile Quaternary archives vulnerable to erosion and construction, needing immediate protection."
Paper Title,"Unveiling the geoheritage, cultural geomorphology and geotourism potential of Zanskar region, NW Himalaya, India ",,,
Phugtal Monastery and Cave,"33.1381, 77.3564","Lungnak Valley, SE Zanskar",Karst cave system in carbonate terrain,The Phugtal cave monastery is built into a natural karst cave system in the Paleozoic carbonates of Zanskar—integrating geological and cultural value.
Padum–Karsha Valley,"33.5411, 77.5510",Central Zanskar Valley,"Fluvial terraces, paleochannels, tectonic landforms",Features evidence of active tectonics and ancient river systems; ideal for geo-education and geomorphological studies.
Zangla Fort Region,"33.7742, 77.5616",Northeast of Padum,Loess-paleosol hills and cultural geomorphology,Geosite integrates Quaternary loess hills and ancient fort architecture — a cultural-geomorphology landscape.
Stongdey Monastery Site,"33.6562, 77.5883",On a high hill north of Padum,Glacial and river-cut terraces with religious relics,Stongdey is situated on stepped geomorphic terraces — combining spiritual and geomorphological features.
Lingshed Valley,"33.8233, 77.3256",Between Zanskar and Leh (remote valley),"Ancient rock glaciers, glacial remnants",Lingshed Valley showcases periglacial features and rock glacier remnants of Holocene cold periods.
Reru Village (Zanskar River),"33.4796, 77.4070",Between Padum and Purne,Meandering river bends and active thrust zones,Reru marks fluvial geomorphic activity with uplifted terraces and tight river loops indicating tectonic influence.